xlt | application/vnd.ms-excel
xlw | application/vnd.ms-excel
ksp | application/vnd.kde.kspread
dfac | application/vnd.dreamfactory
atomsvc | application/atomsvc+xml
ei6 | application/vnd.pg.osasli
emma | application/emma+xml
hpid | application/vnd.hp-hpid
cct | application/x-director
xml | application/xml
tei | application/tei+xml
mxf | application/mxf
pict | image/pict
ram | audio/x-pn-realaudio
mxl | application/vnd.recordare.musicxml
vis | application/vnd.visionary
rar | application/x-rar-compressed
viv | video/vnd.vivo
cdf | application/x-cdf
ipk | application/vnd.shana.informed.package
ras | image/x-cmu-raster
tex | application/x-tex
ktr | application/vnd.kahootz
mxs | application/vnd.triscape.mxs
mxu | video/vnd.mpegurl
mjp2 | video/mj2
ktx | image/ktx
ktz | application/vnd.kahootz
cdx | chemical/x-cdx
tfi | application/thraud+xml
cdy | application/vnd.cinderella
tfm | application/x-tex-tfm
xltx | application/vnd.openxmlformats-officedocument.spreadsheetml.template
aac | audio/x-aac
aab | application/x-authorware-bin
ahead | application/vnd.ahead.space
gml | application/gml+xml
aam | application/x-authorware-map
x3db | model/x3d+binary
tga | image/x-tga
cer | application/pkix-cert
aas | application/x-authorware-seg
gmx | application/vnd.gmx
xltm | application/vnd.ms-excel.template.macroenabled.12
xop | application/xop+xml
jpeg | image/jpeg
Z | application/x-compress
xlsx | application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
c | text/x-c
irm | application/vnd.ibm.rights-management
f | text/x-fortran
irp | application/vnd.irepository.package+xml
h | text/x-c
p | text/x-pascal
xpi | application/x-xpinstall
cfs | application/x-cfs-compressed
abs | audio/x-mpeg
s | text/x-asm
t | text/troff
xpm | image/x-xpixmap
rdf | application/rdf+xml
xpl | application/xproc+xml
xlsm | application/vnd.ms-excel.sheet.macroenabled.12
abw | application/x-abiword
kwd | application/vnd.kde.kword
xps | application/vnd.ms-xpsdocument
z | application/x-compress
xlsb | application/vnd.ms-excel.sheet.binary.macroenabled.12
xpr | application/vnd.is-xpr
xpw | application/vnd.intercon.formnet
acc | application/vnd.americandynamics.acc
xpx | application/vnd.intercon.formnet
ace | application/x-ace-compressed
iso | application/x-iso9660-image
jpgv | video/jpeg
cgm | image/cgm
kwt | application/vnd.kde.kword
rdz | application/vnd.data-vision.rdz
potm | application/vnd.ms-powerpoint.template.macroenabled.12
deploy | application/octet-stream
tif | image/tiff
acu | application/vnd.acucobol
pskcxml | application/pskc+xml
sldm | application/vnd.ms-powerpoint.slide.macroenabled.12
sldx | application/vnd.openxmlformats-officedocument.presentationml.slide
rep | application/vnd.businessobjects
elc | application/octet-stream
jpgm | video/jpm
gph | application/vnd.flographit
i2g | application/vnd.intergeo
res | application/x-dtbresource+xml
xbap | application/x-ms-xbap
pas | text/x-pascal
itp | application/vnd.shana.informed.formtemplate
x3dz | model/x3d+xml
paw | application/vnd.pawaafile
chm | application/vnd.ms-htmlhelp
adp | audio/adpcm
list | text/plain
gramps | application/x-gramps-xml
gpx | application/gpx+xml
uris | text/uri-list
pbd | application/vnd.powerbuilder6
pbm | image/x-portable-bitmap
x3dv | model/x3d+vrml
gqf | application/vnd.grafeq
emf | application/x-msmetafile
cif | chemical/x-cif
cii | application/vnd.anser-web-certificate-issue-initiation
eml | message/rfc822
pcurl | application/vnd.curl.pcurl
cil | application/vnd.ms-artgalry
gqs | application/vnd.grafeq
vob | video/x-ms-vob
rgb | image/x-rgb
aep | application/vnd.audiograph
xsl | application/xml
pcf | application/x-font-pcf
urls | text/uri-list
emz | application/x-msmetafile
xsm | application/vnd.syncml+xml
sv4crc | application/x-sv4crc
x32 | application/x-authorware-bin
pcl | application/vnd.hp-pcl
vor | application/vnd.stardivision.writer
gre | application/vnd.geometry-explorer
vox | application/x-authorware-bin
pct | image/pict
mseq | application/vnd.mseq
ivp | application/vnd.immervision-ivp
pcx | image/x-pcx
afm | application/x-font-type1
ivu | application/vnd.immervision-ivu
afp | application/vnd.ibm.modcap
grv | application/vnd.groove-injector
pdb | application/vnd.palm
pdf | application/pdf
potx | application/vnd.openxmlformats-officedocument.presentationml.template
gsf | application/x-font-ghostscript
ngdat | application/vnd.nokia.n-gage.data
eol | audio/vnd.digital-winds
movie | video/x-sgi-movie
x3d | model/x3d+xml
eot | application/vnd.ms-fontobject
rif | application/reginfo+xml
xul | application/vnd.mozilla.xul+xml
uvvz | application/vnd.dece.zip
uvvx | application/vnd.dece.unspecified
uvvu | video/vnd.uvvu.mp4
tmo | application/vnd.tmobile-livetv
uvvv | video/vnd.dece.video
rip | audio/vnd.rip
cla | application/vnd.claymore
ris | application/x-research-info-systems
gtm | application/vnd.groove-tool-message
uvvi | image/vnd.dece.graphic
list3820 | application/vnd.ibm.modcap
uvvg | image/vnd.dece.graphic
uvvh | video/vnd.dece.hd
clp | application/x-msclip
uvvf | application/vnd.dece.data
uvvs | video/vnd.dece.sd
eps | application/postscript
uvvt | application/vnd.dece.ttml+xml
pfa | application/x-font-type1
gtw | model/vnd.gtw
g2w | application/vnd.geoplan
pfb | application/x-font-type1
uvvp | video/vnd.dece.pd
uvvm | video/vnd.dece.mobile
xvm | application/xv+xml
h261 | video/h261
install | application/x-install-instructions
pfm | application/x-font-type1
h263 | video/h263
spot | text/vnd.in3d.spot
cmc | application/vnd.cosmocaller
h264 | video/h264
uvvd | application/vnd.dece.data
uvva | audio/vnd.dece.audio
nbp | application/vnd.wolfram.player
pfr | application/font-tdpfr
aif | audio/x-aiff
dcurl | text/vnd.curl.dcurl
cml | chemical/x-cml
pfx | application/x-pkcs12
aim | application/x-aim
es3 | application/vnd.eszigno3+xml
xwd | image/x-xwindowdump
vsd | application/vnd.visio
cmp | application/vnd.yellowriver-custom-menu
vsf | application/vnd.vsf
g3w | application/vnd.geospace
air | application/vnd.adobe.air-application-installer-package+zip
ait | application/vnd.dvb.ait
cmx | image/x-cmx
odft | application/vnd.oasis.opendocument.formula-template
listafp | application/vnd.ibm.modcap
pcap | application/vnd.tcpdump.pcap
pgn | application/x-chess-pgn
vst | application/vnd.visio
fe_launch | application/vnd.denovo.fcselayout-link
pgm | image/x-portable-graymap
vss | application/vnd.visio
pgp | application/pgp-encrypted
mobi | application/x-mobipocket-ebook
vsw | application/vnd.visio
xdssc | application/dssc+xml
nitf | application/vnd.nitf
ncx | application/x-dtbncx+xml
et3 | application/vnd.eszigno3+xml
rlc | image/vnd.fujixerox.edmics-rlc
rld | application/resource-lists-diff+xml
tpl | application/vnd.groove-tool-template
esa | application/vnd.osgi.subsystem
shar | application/x-shar
vtu | model/vnd.vtu
cod | application/vnd.rim.cod
cryptonote | application/vnd.rig.cryptonote
esf | application/vnd.epson.esf
tpt | application/vnd.trid.tpt
atom | application/atom+xml
com | application/x-msdownload
mods | application/mods+xml
pic | image/pict
body | text/html
rmi | audio/midi
x3dbz | model/x3d+binary
gxf | application/gxf
rmp | audio/x-pn-realaudio-plugin
xyz | chemical/x-xyz
rms | application/vnd.jcp.javame.midlet-rms
musicxml | application/vnd.recordare.musicxml+xml
cpp | text/x-c
gxt | application/vnd.geonext
tra | application/vnd.trueapp
cpt | application/mac-compactpro
rnc | application/relax-ng-compact-syntax
etx | text/x-setext
lbe | application/vnd.llamagraphics.life-balance.exchange+xml
trm | application/x-msterminal
lbd | application/vnd.llamagraphics.life-balance.desktop
cdxml | application/vnd.chemdraw+xml
nfo | text/x-nfo
rp9 | application/vnd.cloanto.rp9
ami | application/vnd.amiga.ami
tiff | image/tiff
tsd | application/timestamped-data
roa | application/rpki-roa
pkg | application/octet-stream
pki | application/pkixcmp
eva | application/x-eva
teacher | application/vnd.smart.teacher
crd | application/x-mscardfile
tsv | text/tab-separated-values
dump | application/octet-stream
crl | application/pkix-crl
ttc | application/x-font-ttf
crt | application/x-x509-ca-cert
plc | application/vnd.mobius.plc
plb | application/vnd.3gpp.pic-bw-large
ttf | application/x-font-ttf
evy | application/x-envoy
anx | application/annodex
djvu | image/vnd.djvu
plf | application/vnd.pocketlearn
ttl | text/turtle
gtar | application/x-gtar
application | application/x-ms-application
pls | audio/x-scpls
csh | application/x-csh
jnlp | application/x-java-jnlp-file
xslt | application/xslt+xml
inkml | application/inkml+xml
csp | application/vnd.commonspace
onepkg | application/onenote
css | text/css
cst | application/x-director
csv | text/csv
xspf | application/xspf+xml
jad | text/vnd.sun.j2me.app-descriptor
mbox | application/mbox
pml | application/vnd.ctc-posml
rmvb | application/vnd.rn-realmedia-vbr
exe | application/octet-stream
java | text/x-java-source
ccxml | application/ccxml+xml
exi | application/exi
jam | application/vnd.jam
ppam | application/vnd.ms-powerpoint.addin.macroenabled.12
docm | application/vnd.ms-word.document.macroenabled.12
jar | application/java-archive
les | application/vnd.hhe.lesson-player
ez2 | application/vnd.ezpix-album
apk | application/vnd.android.package-archive
onetoc2 | application/onenote
ez3 | application/vnd.ezpix-package
ext | application/vnd.novadigm.ext
apr | application/vnd.lotus-approach
iota | application/vnd.astraea-software.iota
distz | application/octet-stream
png | image/png
ptid | application/vnd.pvi.ptid1
texinfo | application/x-texinfo
pnm | image/x-portable-anymap
pnt | image/x-macpaint
twd | application/vnd.simtech-mindmapper
rsd | application/rsd+xml
rcprofile | application/vnd.ipunplugged.rcprofile
c4d | application/vnd.clonk.c4group
arc | application/x-freearc
rss | application/rss+xml
c4f | application/vnd.clonk.c4group
pot | application/vnd.ms-powerpoint
c4g | application/vnd.clonk.c4group
c4p | application/vnd.clonk.c4group
txd | application/vnd.genomatix.tuxedo
art | image/x-jg
txf | application/vnd.mobius.txf
lha | application/x-lzh-compressed
c4u | application/vnd.clonk.c4group
ppd | application/vnd.cups-ppd
rtf | application/rtf
gram | application/srgs
ppm | image/x-portable-pixmap
docx | application/vnd.openxmlformats-officedocument.wordprocessingml.document
asc | application/pgp-signature
txt | text/plain
pps | application/vnd.ms-powerpoint
asf | video/x-ms-asf
ppt | application/vnd.ms-powerpoint
nlu | application/vnd.neurolanguage.nlu
rtx | text/richtext
asm | text/x-asm
m3u8 | application/vnd.apple.mpegurl
aso | application/vnd.accpac.simply.aso
cpio | application/x-cpio
iges | model/iges
pqa | application/vnd.palm
cww | application/prs.cww
onetoc | application/onenote
asx | video/x-ms-asf
nml | application/vnd.enliven
p10 | application/pkcs10
p12 | application/x-pkcs12
atc | application/vnd.acucorp
hal | application/vnd.hal+xml
msty | application/vnd.muvee.style
ecma | application/ecmascript
cdbcmsg | application/vnd.contact.cmsg
cxt | application/x-director
prc | application/x-mobipocket-ebook
cxx | text/x-c
pre | application/vnd.lotus-freelance
atx | application/vnd.antix.game-component
nnd | application/vnd.noblenet-directory
prf | application/pics-rules
grxml | application/srgs+xml
nns | application/vnd.noblenet-sealer
nnw | application/vnd.noblenet-web
psb | application/vnd.3gpp.pic-bw-small
psd | image/vnd.adobe.photoshop
psf | application/x-font-linux-psf
book | application/vnd.framemaker
hbci | application/vnd.hbci
avi | video/x-msvideo
wad | application/x-doom
ssdl | application/ssdl+xml
ustar | application/x-ustar
avx | video/x-rad-screenplay
tcap | application/vnd.3gpp2.tcap
hdf | application/x-hdf
wav | audio/x-wav
ufdl | application/vnd.ufdl
wax | audio/x-ms-wax
xhtml | application/xhtml+xml
